date_time,shop_name,sold_count,favorites,review_score,review_count,listing_active_count
2022-08-30 18:00:01.928366,NurseryRx,1285,1196,4.9464,597,25
2022-08-30 18:00:02.144865,JoyOfPlants,14641,6383,4.8649,1932,215
2022-08-30 18:00:02.400166,TWPTropical,12534,8188,4.6326,675,0
2022-08-30 18:00:02.717753,Botanicaz,46765,25035,4.907,8086,459
2022-08-30 18:00:02.956255,YourPlantBitch,10687,2735,4.3059,1471,294
2022-08-30 18:00:03.189455,PremierAesthetic,400,217,4.8644,177,65
2022-08-30 18:00:03.463564,PlantedPortland,12498,4013,4.7501,5095,164
2022-08-30 18:00:03.674851,MyPlantObsession,61514,9711,4.9031,4893,191
2022-08-30 18:00:03.983804,305Greenery,827,997,4.8871,248,302
2022-08-30 18:00:04.278245,WellspringGardens,72234,10495,4.7043,3108,243
2022-08-30 18:00:04.494504,VerdantLyfe,787,245,4.8667,120,163
2022-08-30 18:00:04.710092,coollectiveplants,5687,1726,4.8744,1274,57
2022-08-30 18:00:04.952800,HirtsGardens,302869,42439,4.8334,18972,873
2022-08-30 18:00:05.179996,lazygardens,30478,6387,4.9203,929,188
2022-08-30 18:00:05.413037,FloridaPlantsGardens,84430,16076,4.8573,8578,174
2022-08-30 18:00:05.741308,TheGreenEscape,107350,22472,4.8427,26697,504
2022-08-30 19:00:02.499798,NurseryRx,1285,1196,4.9464,597,25
2022-08-30 19:00:02.729954,JoyOfPlants,14642,6385,4.8649,1932,214
2022-08-30 19:00:02.974402,TWPTropical,12534,8188,4.6326,675,0
2022-08-30 19:00:03.213931,Botanicaz,46768,25037,4.907,8085,456
2022-08-30 19:00:03.422391,YourPlantBitch,10690,2735,4.3059,1471,294
2022-08-30 19:00:03.645573,PremierAesthetic,400,217,4.8659,179,65
2022-08-30 19:00:03.882682,PlantedPortland,12504,4016,4.75,5100,164
2022-08-30 19:00:04.130405,MyPlantObsession,61514,9711,4.9031,4891,191
2022-08-30 19:00:04.409040,305Greenery,827,997,4.8871,248,302
2022-08-30 19:00:04.674416,WellspringGardens,72235,10495,4.7043,3108,243
2022-08-30 19:00:04.926714,VerdantLyfe,787,245,4.8667,120,163
2022-08-30 19:00:05.191322,coollectiveplants,5693,1727,4.8744,1274,57
2022-08-30 19:00:05.498626,HirtsGardens,302874,42439,4.8334,18972,873
2022-08-30 19:00:05.771006,lazygardens,30478,6387,4.9203,928,188
2022-08-30 19:00:06.039732,FloridaPlantsGardens,84431,16077,4.857,8579,174
2022-08-30 19:00:06.557789,TheGreenEscape,107406,22475,4.8428,26703,512
2022-08-30 20:00:02.269571,NurseryRx,1285,1198,4.9464,597,25
2022-08-30 20:00:02.492677,JoyOfPlants,14642,6386,4.8648,1931,214
2022-08-30 20:00:02.740160,TWPTropical,12534,8188,4.6326,675,0
2022-08-30 20:00:03.000102,Botanicaz,46770,25039,4.907,8083,450
2022-08-30 20:00:03.218418,YourPlantBitch,10691,2736,4.3064,1472,294
2022-08-30 20:00:03.448295,PremierAesthetic,400,219,4.8659,179,65
2022-08-30 20:00:03.709002,PlantedPortland,12506,4022,4.7496,5104,163
2022-08-30 20:00:03.924004,MyPlantObsession,61515,9711,4.9031,4893,191
2022-08-30 20:00:04.163912,305Greenery,827,997,4.8871,248,302
2022-08-30 20:00:04.395052,WellspringGardens,72235,10497,4.7047,3112,243
2022-08-30 20:00:04.620015,VerdantLyfe,788,245,4.8667,120,163
2022-08-30 20:00:04.889607,coollectiveplants,5696,1727,4.8744,1274,57
2022-08-30 20:00:05.130397,HirtsGardens,302888,42439,4.8334,18970,873
2022-08-30 20:00:05.354261,lazygardens,30478,6387,4.9203,928,188
2022-08-30 20:00:05.579540,FloridaPlantsGardens,84434,16077,4.857,8578,174
2022-08-30 20:00:05.901675,TheGreenEscape,107410,22479,4.8428,26710,513
2022-08-30 20:30:02.638205,NurseryRx,1285,1198,4.9464,597,25
2022-08-30 20:30:02.892613,JoyOfPlants,14643,6386,4.8648,1931,212
2022-08-30 20:30:03.120679,TWPTropical,12534,8188,4.6326,675,0
2022-08-30 20:30:03.393049,Botanicaz,46772,25041,4.907,8083,452
2022-08-30 20:30:03.625091,YourPlantBitch,10692,2737,4.3064,1472,294
2022-08-30 20:30:03.954252,PremierAesthetic,400,219,4.8659,179,65
2022-08-30 20:30:04.176748,PlantedPortland,12509,4023,4.7497,5105,163
2022-08-30 20:30:04.404328,MyPlantObsession,61516,9711,4.9031,4891,191
2022-08-30 20:30:04.619700,305Greenery,827,997,4.8871,248,302
